"职位名称","薪资区间","经验要求","学历要求","岗位职责任职要求","工作地址","公司名称","公司规模"
"大数据挖掘/人工智能/神经...","80k-100k","经验5-10年 /","博士及以上 /","大数据挖掘/人工智能/神经网络算法科学家主要负责横跨即科内部所有业务线的模型算法的风险管理工作，需要和有机会全面了解互联网金融行业数据和业务模型及其使用的场景，包括但不限于深度规则，黑盒计划，反欺诈，场景探针等。  工作职责： 1. 负责领导和建设即科AI实验室，构建AI实验室技术基础架构。并且驱动AI项目包括：深度规则，黑盒计划，反欺诈，场景探针等；2. 规划即科金融的机器学习、神经网络、深度学习、图算法等的发展路线图，通过对上述问题的探索与研究，结合即科未来实际应用场景，提供全面的技术解决方案，并引领算法团队及时完善即科金融的人工智能相关的产品，使之保持业界内的领先性；同时向业务团队提出合理化建议和意见，以提高算法的质量，降低算法建立和使用中的各项风险； 3. 与相关部门（风控部、运维安全部等）紧密合作，不断更新即科金融人工智能方面的技术和产品，同时负责推进产品在实际业务场景中的应用和风险监控；4. 及时跟进并熟悉业界最先进的大数据挖掘/人工智能/机器学习方面的技术进展，带领团队进行人工智能领域前沿算法研发，探索人工智能的创新应用；   任职资格：1. 博士及以上学历，数学，生物信息，计算机，神经网络，机器学习等相关专业；2. 扎实的编程基础（熟练使用Java或者Python等）；3. 有大数据处理经验（熟悉Hadoop或者Spark等分布式处理平台）；有动手建模和开发算法的实战经验。4. 熟悉人工智能学习的基本工作原理及其架构，包括常用的搜索理论，推理策略，人工智能架构及其编程语言等；熟悉人工神经网络的学习机理，人工神经网络模型等；熟悉常用的智能学习算法、框架和应用；熟悉一个或多个常见的神经网络开源工具库；5. 极强的开源资源整合能力，能够针对产品需求，快速开发原型产品；6. 具备研究或研发项目经历，有较丰富的大中型开发项目的总体规划、方案设计经验优先；7. 有互联网金融风险控制经验背景者优先；","上海 -                    杨浦区                                            - 淞沪路619号中航天盛大厦1701室                                                            查看地图","GeexFinance                                                                        拉勾认证企业","150-500人                规模"
"人工智能","15k-20k","经验1-3年 /","本科及以上 /","1 熟悉采用tensorflow解决实际问题，包括图像识别，文本识别。2 熟悉tensorflow相关接口，能够与java程序员对接。3 了解tensorflow需要的训练集，指导相关人员进行数据集的整理4 精通python语言，熟悉java语言5 对医疗项目有经验的优先","上海 -                    徐汇区                                            - 宜山路425号光启城商务办公楼三层                                                            查看地图","梅斯医学                                                                        拉勾认证企业","150-500人                规模"
"项目经理-人工智能方向","15k-25k","经验3-5年 /","本科及以上 /","岗位职责1、负责公司产品研发项目管理和实现；2、跟踪项目计划的执行落实，保证按时按质完成；3、负责项目过程管理，根据需要进行项目进展、问题、上线等情况汇报；4、其他相关部门的协调沟通工作。  任职要求：1、本科以上学历，电子信息、通讯、计算机相关专业；2、3年以上项目管理经验；3、较强的沟通协调和抗压能力；4、做事认真，仔细，有很强的责任感，项目跟踪、项目执行力较强；","上海 -                    闵行区                                            - 申昆路1500号 申虹国际大厦北楼7层717                                                            查看地图","便利蜂                                                                        拉勾认证企业","http://www.bianlifeng.com                公司主页"
"人工智能训练师","6k-10k","经验不限 /","学历不限 /","1.参与电销机器人知识库、对话库及语音库的建设与完善；2.负责知识的优化和运营工作，包括知识下线、修改及新增；3.负责构建和优化交互机器人知识库4.整理知识库内容，使公司产品更生动实用并贴合业务需求；5.了解机器人产品运作的逻辑，参与部分的逻辑建设工作。我们希望您：1、熟悉call center业务，对人工智能项目有一定的兴趣和热情2、有良好的语言文字处理能力和逻辑思维能力、能针对不同项目制定相应话术3、积极主动思考机器人知识库的内容（修改、新增）4、有客服话术培训相关工作经验大数据智能营销平台眸事网等你一起来掀起智能时代的浪潮，项目已立，等你来战~","上海 -                    虹口区 -                    和平公园                                            - 四平路198号 轻工国际大厦3楼                                                            查看地图","眸事网                                                                        拉勾认证企业","150-500人                规模"
"人工智能训练师","10k-20k","经验1-3年 /","本科及以上 /","1.负责机器人知识库、对话库及语音库的建设与完善；2.负责知识的优化和运营工作，包括知识下线、修改及新增；3.负责构建和优化垂直领域的交互机器人知识库。4.整理知识库内容，使公司产品更生动实用；5.了解机器人产品运作的逻辑，参与部分的逻辑建设工作。任职要求：我们有金融、电商、人力资源领域的机器人业务，需要更多的对人工智能感兴趣的小伙伴们的加入~如果你符合其中的一条，也许我们可以谈一谈~ps：目前 阿里 苏宁 唯品会 中国移动，招商，浦发，平安等等企业都在做相关的事情哦~~1、从事过2年以上金融或电商行业知识库维护经验或者智能客服经验丰富的，对AI有一定兴趣；2、应用语言学硕士专业毕业，对AI有一定兴趣；3、人力资源相关从业经验，有过SSC经验的优先，对AI有一定兴趣；4、有过驻场经验，对客户沟通，客服工作比较熟悉，对AI有一定兴趣。","上海 -                    徐汇区 -                    田林                                            - 宜山路700号B2幢20层                                                            查看地图","竹间智能科技(上海)有限公司                                                                        拉勾认证企业","http://www.myemotibot.com                公司主页"
"人工智能训练师","15k-30k","经验1-3年 /","本科及以上 /","职责范围：    1、负责智能客服机器人知识库的设计与构建；2、负责智能客服机器人知识库的优化；3、负责行业数据的积累及内部研发所需的数据支持。    任职要求：    1、证劵公司客服主管二年经验，有数据标注及证券/基金等金融行业相关背景的优先；2、全日制本科及以上学历，具有良好的学习能力、沟通表达能力、理解能力和逻辑思维能力；3、优秀的数据分析能力，对数据整理工作有热情；4、心思细腻有耐心，主动性强，富有责任感；5、可以接受出差安排；6、有良好的文学功底、文字驾驭能力，文章鉴赏能力，理解能力强，文笔流畅者优先。    ","上海 -                    浦东新区 -                    金桥                                            - 新金桥路27号                                                            查看地图","证通股份                                                                        拉勾认证企业","http://www.ect888.com                公司主页"
"营销算法专家-机器学习／人...","30k-40k","经验3-5年 /","硕士及以上 /","职位描述：1. 参与营销、商品、交易等重量级业务的的智能化改造2. 负责具体业务问题的算法模型的设计工作3. 负责相关项目的数据抽取、特征工程、算法调优等工作职位诱惑：1. 海量的营销、商品、交易数据供分析使用2. 超高业务 ROI 的算法效果产出3. 既可专注模型算法的深入调优，也可专注业务侧的 AI 解决方案职位要求：1. 熟练使用 Scala/Python/java/R 中至少一门编程语言；熟练使用 SQL2. 熟悉并应用过常用机器学习算法（包括不限于 LR/GBDT/RF/SVM 等），并熟悉常用的机器学习实现框架（包括不限于 xgboost/sparkML/sklearn/TF 等）3. 熟悉 Hadoop/Hive/Storm/Spark 等常用大数据生态工具的使用4. 具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题、解决问题5. 结果导向，能够利用自身的算法能力，实现最终的业务目标6. 有营销、搜索推荐、广告、风控、大数据等项目经验者优先","上海 -                    普陀区 -                    长征                                            - 金沙江路1518弄近铁城市广场4楼401室                                                            查看地图","饿了么                                                                        拉勾认证企业","2000人以上                规模"
"人工智能训练师 (MJ000063)","6k-12k","经验不限 /","本科及以上 /","1.负责智能客服机器人知识库的设计与构建；2.负责智能客服机器人标注数据的优化；3.负责行业数据的积累及公司内部研发所需的数据支持。岗位要求：1.有知识库维护经验或客服经验，金融领域背景优先；2.汉语言文学/语言学及应用语言学，对语言文字处理有浓厚兴趣；2.具有良好的学习能力、沟通表达能力、理解能力和逻辑思维能力；5.接受出差安排；6.大学英语六级以上，会小语种者优先。","上海 -                    长宁区                                            - 东方维京大厦                                                            查看地图","追一科技                                                                        拉勾认证企业","150-500人                规模"
"人工智能开发工程师 (MJ00...","25k-50k","经验1-3年 /","本科及以上 /","工作职责： 1.利用深度学习技术进行前沿人工智能技术研发；进行人工智能相关前沿算法的研究，包括机器学习、知识图谱等技术的研究； 2.负责深度学习，强化学习平台的选型，框架搭建，开发及优化 3.探索研究人工智能在自适应学习的应用；开发基于互联网教育大数据的人工智能应用系统和平台。 4.开发自然语言处理（NLP）应用系统，负责模型算法的工程化实现、服务接口的实现。  任职资格： 1.专业不限、背景不限；仅限对人工智能、机器学习及互联网教育有浓厚兴趣和充满热情，有的责任心、好奇心。 2.熟悉深度神经网络的常用模型（CNN、RBN、RCNN、DNN等），并能够将其应用特定场景中；熟练掌握常用的统计机器学习算法（神经网络、逻辑回归、决策树、SVM、Boosting等） 3.具有熟练的编程能力，熟悉Java或C++或Python、主流开发框架，有大型项目的开发经验和工作能力。 4.有机器学习的算法基础和经验优先，有NLP经验优先，熟练使用Caffe、Theano、Torch、Tensorflow等任一种主流的深度学习框架优先。","上海 -                    浦东新区 -                    张江                                            - 浦东软件园博云路2号浦软大厦6-8楼                                                            查看地图","沪江                                                                        拉勾认证企业","500-2000人                规模"
"大数据及人工智能","15k-25k","经验3-5年 /","硕士及以上 /","职位职责：1、负责大数据或人工智能相关设计、研发、项目建设及日常管理工作；2、负责大数据的采集、存储、处理，通过分布式大数据平台加工数据，3、负责大数据产品的研发，通过对数据的理解，发掘数据价值，探索大数据商业化；4、负责人工智能相关业务场景调研、分析，推进机器学习等智能化应用落地。  任职要求： 1、硕士以上学历，博士甚佳，计算机、数学统计等相关专业，4年及以上相关工作经验；2、有较强的动手能力和学习能力，熟悉SQL、Python、JAVA、Perl等语言，熟悉linux操作系统 ；3、具备扎实的专业基础，良好的沟通能力和团队合作，主动积极、乐于面对挑战 ，具有良好的英语读写能力；4、具有大型互联网、金融行业大数据或人工智能开发经验者优先。","上海 -                    闵行区                                            - 申虹路683号1号楼601室                                                            查看地图","雅捷                                                                        拉勾认证企业","http://www.lactec.net/                公司主页"
